y
39.9
31.9
37.5
31.7
37.7
30.3
38.7
35.3
34.9
36.4
35.6
30.5
34.7
28.4
34.1
31.9
35.6
35.2
31.3
38.3
30
36.5
32.3
38.4
41.3
32.5
37.5
36.2
36.1
35.5
37.9
32.3
36
34.5
32.1
29.2
39.2
32.6
35.4
38.4
31.4
39.3
32.4
35.1
33.3
37.3
34.4
30.4
38.2
28.7
36.3
32.1
34
34.5
34.4
36.2
39.1
32.6
38.6
38.5
30.5
40.1
32.9
36.2
32.3
37.1
30.1
40.3
36.5
32.9
35.1
41.1
25.9
41.3
32.8
38
36.5
37.2
36.4
37.2
34.2
37
35.4
34.4
35.2
37.1
32.3
36.9
34.8
35.8
36.1
36.7
36.6
35.1
37.8
33.9
37.2
34.3
38.3
